       Symbol Name            Value      Decimal
[0,11]                               '.'  213
[0,12]                               '.'  207
[0,13]                               '.'  203
[0,14]                               '.'  188
[0,15]                               '.'  170
[0,16]                               '.'  170
[0,17]                               '.'  170
[0,18]                               '.'  170
[0,19]                               '.'  170
[0,20]                               '.'  171
[1]                                  '.'  255
[1,0]                                '.'  255
[1,1]                                '.'  218
[1,2]                                '.'  218
[1,3]                                '.'  218
[1,4]                                '.'  218
[1,5]                                '.'  218
[1,6]                                '.'  216
[1,7]                                '.'  214
[1,8]                                '.'  208
[1,9]                                '.'  201
[1,10]                               '.'  182
[1,11]                               '.'  175
[1,12]                               '.'  174
[1,13]                               '.'  173
[1,14]                               '.'  172
[1,15]                               '.'  172
[1,16]                               '.'  172
[1,17]                               '.'  171
[1,18]                               '.'  171
[1,19]                               '.'  170
[1,20]                               '.'  171
[2]                                  '.'  255
[2,0]                                '.'  255
[2,1]                                '.'  231
[2,2]                                '.'  230
[2,3]                                '.'  228
[2,4]                                '.'  226
[2,5]                                '.'  225
[2,6]                                '.'  224
[2,7]                                '.'  224
[2,8]                                '.'  223
[2,9]                                '.'  223
[2,10]                               '.'  222
[2,11]                               '.'  222
[2,12]                               '.'  221
[2,13]                               '.'  221
[2,14]                               '.'  220
[2,15]                               '.'  220
[2,16]                               '.'  219
[2,17]                               '.'  218
[2,18]                               '.'  218
[2,19]                               '.'  217
[2,20]                               '.'  216
[3]                                  '.'  255
[3,0]                                '.'  255
[3,1]                                '.'  236
[3,2]                                '.'  235
[3,3]                                '.'  234
[3,4]                                '.'  234
[3,5]                                '.'  233
[3,6]                                '.'  232
[3,7]                                '.'  229
[3,8]                                '.'  227
[3,9]                                '.'  224
[3,10]                               '.'  222
[3,11]                               '.'  221
[3,12]                               '.'  219
[3,13]                               '.'  218
[3,14]                               '.'  216
[3,15]                               '.'  214
[3,16]                               '.'  212
[3,17]                               '.'  210
[3,18]                               '.'  208
[3,19]                               '.'  206
[3,20]                               '.'  201
[4]                                  '.'  255
[4,0]                                '.'  255
[4,1]                                '.'  232
[4,2]                                '.'  229
[4,3]                                '.'  225
[4,4]                                '.'  223
[4,5]                                '.'  220
[4,6]                                '.'  219
[4,7]                                '.'  219
[4,8]                                '.'  218
[4,9]                                '.'  218
[4,10]                               '.'  217
[4,11]                               '.'  216
[4,12]                               '.'  215
[4,13]                               '.'  214
[4,14]                               '.'  213
[4,15]                               '.'  212
[4,16]                               '.'  211
[4,17]                               '.'  209
[4,18]                               '.'  208
[4,19]                               '.'  207
[4,20]                               '.'  206
[5]                                  '.'  255
[5,0]                                '.'  255
[5,1]                                '.'  236
[5,2]                                '.'  234
[5,3]                                '.'  233
[5,4]                                '.'  232
[5,5]                                '.'  232
[5,6]                                '.'  232
[5,7]                                '.'  231
[5,8]                                '.'  230
[5,9]                                '.'  229
[5,10]                               '.'  228
[5,11]                               '.'  227
[5,12]                               '.'  226
[5,13]                               '.'  225
[5,14]                               '.'  224
[5,15]                               '.'  223
[5,16]                               '.'  222
[5,17]                               '.'  221
[5,18]                               '.'  221
[5,19]                               '.'  220
[5,20]                               '.'  216
[6]                                  '.'  255
[6,0]                                '.'  255
[6,1]                                '.'  233
[6,2]                                '.'  232
[6,3]                                '.'  231
[6,4]                                '.'  230
[6,5]                                '.'  228
[6,6]                                '.'  227
[6,7]                                '.'  225
[6,8]                                '.'  223
[6,9]                                '.'  221
[6,10]                               '.'  218
[6,11]                               '.'  217
[6,12]                               '.'  213
[6,13]                               '.'  210
[6,14]                               '.'  202
[6,15]                               '.'  192
[6,16]                               '.'  191
[6,17]                               '.'  190
[6,18]                               '.'  189
[6,19]                               '.'  188
[6,20]                               '.'  186
[7]                                  '.'  255
[7,0]                                '.'  255
[7,1]                                '.'  225
[7,2]                                '.'  223
[7,3]                                '.'  221
[7,4]                                '.'  220
[7,5]                                '.'  219
[7,6]                                '.'  217
[7,7]                                '.'  216
[7,8]                                '.'  213
[7,9]                                '.'  209
[7,10]                               '.'  199
[7,11]                               '.'  195
[7,12]                               '.'  194
[7,13]                               '.'  193
[7,14]                               '.'  192
[7,15]                               '.'  192
[7,16]                               '.'  191
[7,17]                               '.'  190
[7,18]                               '.'  189
[7,19]                               '.'  188
[7,20]                               '.'  188
[8]                                  '.'  255
[8,0]                                '.'  255
[8,1]                                '.'  233
[8,2]                                '.'  232
[8,3]                                '.'  230
[8,4]                                '.'  229
[8,5]                                '.'  228
[8,6]                                '.'  228
[8,7]                                '.'  227
[8,8]                                '.'  226
[8,9]                                '.'  226
[8,10]                               '.'  225
[8,11]                               '.'  224
[8,12]                               '.'  223
[8,13]                               '.'  223
[8,14]                               '.'  222
[8,15]                               '.'  221
[8,16]                               '.'  220
[8,17]                               '.'  219
[8,18]                               '.'  219
[8,19]                               '.'  218
[8,20]                               '.'  216
