         Symbol Name             Value        Hex      Decimal      Char    
[5,4]                                  '.'       0xFF       255          '.'
[5,5]                                  '.'       0xFF       255          '.'
[5,6]                                  '.'       0xFF       255          '.'
[5,7]                                  '.'       0xFF       255          '.'
[5,8]                                  '.'       0xFF       255          '.'
[5,9]                                  '.'       0xFF       255          '.'
[5,10]                                 '.'       0xFF       255          '.'
[5,11]                                 '.'       0xFF       255          '.'
[5,12]                                 '.'       0xFF       255          '.'
[5,13]                                 '.'       0xFF       255          '.'
[5,14]                                 '.'       0xFF       255          '.'
[5,15]                                 '.'       0xFF       255          '.'
[5,16]                                 '.'       0xFF       255          '.'
[5,17]                                 '.'       0xFF       255          '.'
[5,18]                                 '.'       0xFF       255          '.'
[5,19]                                 '.'       0xFF       255          '.'
[5,20]                                 '.'       0xFF       255          '.'
array_dacdds                 "ÿ+/+/+++++++++++++++ÿ+++++++++++++++++++ÿ+++++++++++++++++++ÿ+++++++++++++++++++ÿÿ"                                  
[0]                                    '.'       0xFF       255          '.'
[0,0]                                  '.'       0xFF       255          '.'
[0,1]                                  '.'       0x7F       127          '.'
[0,2]                                  '+'       0x2B        43          '+'
[0,3]                                  '/'       0x2F        47          '/'
[0,4]                                  '+'       0x2B        43          '+'
[0,5]                                  '/'       0x2F        47          '/'
[0,6]                                  '+'       0x2B        43          '+'
[0,7]                                  '+'       0x2B        43          '+'
[0,8]                                  '+'       0x2B        43          '+'
[0,9]                                  '+'       0x2B        43          '+'
[0,10]                                 '+'       0x2B        43          '+'
[0,11]                                 '+'       0x2B        43          '+'
[0,12]                                 '+'       0x2B        43          '+'
[0,13]                                 '+'       0x2B        43          '+'
[0,14]                                 '+'       0x2B        43          '+'
[0,15]                                 '+'       0x2B        43          '+'
[0,16]                                 '+'       0x2B        43          '+'
[0,17]                                 '+'       0x2B        43          '+'
[0,18]                                 '+'       0x2B        43          '+'
[0,19]                                 '+'       0x2B        43          '+'
[0,20]                                 '+'       0x2B        43          '+'
[1]                                    '.'       0xFF       255          '.'
[1,0]                                  '.'       0xFF       255          '.'
[1,1]                                  '.'       0x7F       127          '.'
[1,2]                                  '+'       0x2B        43          '+'
[1,3]                                  '+'       0x2B        43          '+'
[1,4]                                  '+'       0x2B        43          '+'
[1,5]                                  '+'       0x2B        43          '+'
[1,6]                                  '+'       0x2B        43          '+'
[1,7]                                  '+'       0x2B        43          '+'
[1,8]                                  '+'       0x2B        43          '+'
[1,9]                                  '+'       0x2B        43          '+'
[1,10]                                 '+'       0x2B        43          '+'
[1,11]                                 '+'       0x2B        43          '+'
[1,12]                                 '+'       0x2B        43          '+'
[1,13]                                 '+'       0x2B        43          '+'
[1,14]                                 '+'       0x2B        43          '+'
[1,15]                                 '+'       0x2B        43          '+'
[1,16]                                 '+'       0x2B        43          '+'
[1,17]                                 '+'       0x2B        43          '+'
[1,18]                                 '+'       0x2B        43          '+'
[1,19]                                 '+'       0x2B        43          '+'
[1,20]                                 '+'       0x2B        43          '+'
[2]                                    '.'       0xFF       255          '.'
[2,0]                                  '.'       0xFF       255          '.'
[2,1]                                  '.'       0x7F       127          '.'
[2,2]                                  '+'       0x2B        43          '+'
[2,3]                                  '+'       0x2B        43          '+'
[2,4]                                  '+'       0x2B        43          '+'
[2,5]                                  '+'       0x2B        43          '+'
[2,6]                                  '+'       0x2B        43          '+'
[2,7]                                  '+'       0x2B        43          '+'
[2,8]                                  '+'       0x2B        43          '+'
[2,9]                                  '+'       0x2B        43          '+'
[2,10]                                 '+'       0x2B        43          '+'
[2,11]                                 '+'       0x2B        43          '+'
[2,12]                                 '+'       0x2B        43          '+'
[2,13]                                 '+'       0x2B        43          '+'
[2,14]                                 '+'       0x2B        43          '+'
[2,15]                                 '+'       0x2B        43          '+'
[2,16]                                 '+'       0x2B        43          '+'
[2,17]                                 '+'       0x2B        43          '+'
[2,18]                                 '+'       0x2B        43          '+'
[2,19]                                 '+'       0x2B        43          '+'
[2,20]                                 '+'       0x2B        43          '+'
[3]                                    '.'       0xFF       255          '.'
[3,0]                                  '.'       0xFF       255          '.'
[3,1]                                  '.'       0x7F       127          '.'
[3,2]                                  '+'       0x2B        43          '+'
[3,3]                                  '+'       0x2B        43          '+'
[3,4]                                  '+'       0x2B        43          '+'
[3,5]                                  '+'       0x2B        43          '+'
[3,6]                                  '+'       0x2B        43          '+'
[3,7]                                  '+'       0x2B        43          '+'
[3,8]                                  '+'       0x2B        43          '+'
[3,9]                                  '+'       0x2B        43          '+'
[3,10]                                 '+'       0x2B        43          '+'
[3,11]                                 '+'       0x2B        43          '+'
[3,12]                                 '+'       0x2B        43          '+'
[3,13]                                 '+'       0x2B        43          '+'
[3,14]                                 '+'       0x2B        43          '+'
[3,15]                                 '+'       0x2B        43          '+'
[3,16]                                 '+'       0x2B        43          '+'
[3,17]                                 '+'       0x2B        43          '+'
[3,18]                                 '+'       0x2B        43          '+'
[3,19]                                 '+'       0x2B        43          '+'
[3,20]                                 '+'       0x2B        43          '+'
[4]                                    '.'       0xFF       255          '.'
[4,0]                                  '.'       0xFF       255          '.'
[4,1]                                  '.'       0x7F       127          '.'
[4,2]                                  '.'       0x7F       127          '.'
[4,3]                                  '.'       0x7F       127          '.'
[4,4]                                  '.'       0x7F       127          '.'
[4,5]                                  '.'       0x7F       127          '.'
[4,6]                                  '.'       0x7F       127          '.'
[4,7]                                  '.'       0x7F       127          '.'
[4,8]                                  '.'       0x7F       127          '.'
[4,9]                                  '.'       0x7F       127          '.'
[4,10]                                 '.'       0x7F       127          '.'
[4,11]                                 '.'       0x7F       127          '.'
[4,12]                                 '.'       0x7F       127          '.'
[4,13]                                 '.'       0x7F       127          '.'
[4,14]                                 '.'       0x7F       127          '.'
[4,15]                                 '.'       0x7F       127          '.'
[4,16]                                 '.'       0x7F       127          '.'
[4,17]                                 '.'       0x7F       127          '.'
[4,18]                                 '.'       0x7F       127          '.'
[4,19]                                 '.'       0x7F       127          '.'
[4,20]                                 '.'       0x7F       127          '.'
[5]                                    '.'       0xFF       255          '.'
[5,0]                                  '.'       0xFF       255          '.'
[5,1]                                  '.'       0x7F       127          '.'
[5,2]                                  '.'       0x7F       127          '.'
[5,3]                                  '.'       0x7F       127          '.'
[5,4]                                  '.'       0x7F       127          '.'
[5,5]                                  '.'       0x7F       127          '.'
[5,6]                                  '.'       0x7F       127          '.'
[5,7]                                  '.'       0x7F       127          '.'
[5,8]                                  '.'       0x7F       127          '.'
[5,9]                                  '.'       0x7F       127          '.'
[5,10]                                 '.'       0x7F       127          '.'
[5,11]                                 '.'       0x7F       127          '.'
[5,12]                                 '.'       0x7F       127          '.'
[5,13]                                 '.'       0x7F       127          '.'
[5,14]                                 '.'       0x7F       127          '.'
[5,15]                                 '.'       0x7F       127          '.'
[5,16]                                 '.'       0x7F       127          '.'
[5,17]                                 '.'       0x7F       127          '.'
[5,18]                                 '.'       0x7F       127          '.'
[5,19]                                 '.'       0x7F       127          '.'
[5,20]                                 '.'       0x7F       127          '.'
Blink_PB                              0x03       0x03         3          '.'
Estado_RF                             0x00       0x00         0          '.'
Frecuencia_Resulta              0x000F4240 0x000F4240   1000000       '..B@'
min                           Out of ScopeOut of ScopeOut of Scope Out of Scope
max                           Out of ScopeOut of ScopeOut of Scope Out of Scope
Reducir                               0x00       0x00         0          '.'
Rele                                                                        
Salida_Uno                            0x00       0x00         0          '.'
No_Apli                               0x00       0x00         0          '.'
Salida_Dos                            0x00       0x00         0          '.'
Salida_Tres                           0x03       0x03         3          '.'
Aplicador                             0x03       0x03         3          '.'
Led                                                                         
Dac_Bias                              0x52       0x52        82          'R'
Valor_Probe1                    0x000003FF 0x000003FF      1023       '....'
Valor_Probe2                    0x000003FF 0x000003FF      1023       '....'
Valor_Probe3                    0x00000216 0x00000216       534       '....'
array                                                                       
index                                 0x03       0x03         3          '.'
voltage_anrf                      12.42200 0x4146C0821095155842       'AF..'
value_correct_counter                 0x00       0x00         0          '.'
new_value                    Symbol Not FoundSymbol Not FoundSymbol Not FoundSymbol Not Found
old_value                    Symbol Not FoundSymbol Not FoundSymbol Not FoundSymbol Not Found
tick_warmup                           0x73       0x73       115          's'
last_level_value                      0xE1       0xE1       225          '.'
array_anrf_3mhz_corporal                                                    
array_anrf_3mhz_facial                                                      
array_anrf_1mhz_corporal                                                    
array_anrf_1mhz_facial                                                      
